county_code,county,msa_code,msa,csa_code,csa_title,msa_name,states,types,first_town,state_abbr,msa_short
47011,"Bradley County, Tennessee",C1742,"Cleveland, TN MSA",CS174,"Chattanooga-Cleveland-Dalton, TN-GA-AL CSA",Cleveland,TN,MSA,Cleveland,TN,"Cleveland, TN"
47013,"Campbell County, Tennessee",C2894,"Knoxville, TN MSA",CS315,"Knoxville-Morristown-Sevierville, TN CSA",Knoxville,TN,MSA,Knoxville,TN,"Knoxville, TN"
47015,"Cannon County, Tennessee",C3498,"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",CS400,"Nashville-Davidson--Murfreesboro, TN CSA",Nashville-Davidson--Murfreesboro--Franklin,TN,MSA,Nashville,TN,"Nashville, TN"
47019,"Carter County, Tennessee",C2774,"Johnson City, TN MSA",CS304,"Johnson City-Kingsport-Bristol, TN-VA CSA",Johnson City,TN,MSA,Johnson City,TN,"Johnson City, TN"
47021,"Cheatham County, Tennessee",C3498,"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",CS400,"Nashville-Davidson--Murfreesboro, TN CSA",Nashville-Davidson--Murfreesboro--Franklin,TN,MSA,Nashville,TN,"Nashville, TN"
47023,"Chester County, Tennessee",C2718,"Jackson, TN MSA",,,Jackson,TN,MSA,Jackson,TN,"Jackson, TN"
47033,"Crockett County, Tennessee",C2718,"Jackson, TN MSA",,,Jackson,TN,MSA,Jackson,TN,"Jackson, TN"
47037,"Davidson County, Tennessee",C3498,"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",CS400,"Nashville-Davidson--Murfreesboro, TN CSA",Nashville-Davidson--Murfreesboro--Franklin,TN,MSA,Nashville,TN,"Nashville, TN"
47043,"Dickson County, Tennessee",C3498,"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",CS400,"Nashville-Davidson--Murfreesboro, TN CSA",Nashville-Davidson--Murfreesboro--Franklin,TN,MSA,Nashville,TN,"Nashville, TN"
47047,"Fayette County, Tennessee",C3282,"Memphis, TN-MS-AR MSA",CS368,"Memphis-Clarksdale-Forrest City, TN-MS-AR CSA",Memphis,TN-MS-AR,MSA,Memphis,TN,"Memphis, TN"
47053,"Gibson County, Tennessee",C2718,"Jackson, TN MSA",,,Jackson,TN,MSA,Jackson,TN,"Jackson, TN"
47057,"Grainger County, Tennessee",C2894,"Knoxville, TN MSA",CS315,"Knoxville-Morristown-Sevierville, TN CSA",Knoxville,TN,MSA,Knoxville,TN,"Knoxville, TN"
47063,"Hamblen County, Tennessee",C3410,"Morristown, TN MSA",CS315,"Knoxville-Morristown-Sevierville, TN CSA",Morristown,TN,MSA,Morristown,TN,"Morristown, TN"
47065,"Hamilton County, Tennessee",C1686,"Chattanooga, TN-GA MSA",CS174,"Chattanooga-Cleveland-Dalton, TN-GA-AL CSA",Chattanooga,TN-GA,MSA,Chattanooga,TN,"Chattanooga, TN"
47073,"Hawkins County, Tennessee",C2870,"Kingsport-Bristol, TN-VA MSA",CS304,"Johnson City-Kingsport-Bristol, TN-VA CSA",Kingsport-Bristol,TN-VA,MSA,Kingsport,TN,"Kingsport, TN"
47081,"Hickman County, Tennessee",C3498,"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",CS400,"Nashville-Davidson--Murfreesboro, TN CSA",Nashville-Davidson--Murfreesboro--Franklin,TN,MSA,Nashville,TN,"Nashville, TN"
47089,"Jefferson County, Tennessee",C3410,"Morristown, TN MSA",CS315,"Knoxville-Morristown-Sevierville, TN CSA",Morristown,TN,MSA,Morristown,TN,"Morristown, TN"
47093,"Knox County, Tennessee",C2894,"Knoxville, TN MSA",CS315,"Knoxville-Morristown-Sevierville, TN CSA",Knoxville,TN,MSA,Knoxville,TN,"Knoxville, TN"
47105,"Loudon County, Tennessee",C2894,"Knoxville, TN MSA",CS315,"Knoxville-Morristown-Sevierville, TN CSA",Knoxville,TN,MSA,Knoxville,TN,"Knoxville, TN"
