GeoFips,GeoName,LineCode,Description,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,rpp_change_20_22,msa,state,msa_short
11260,"anchorage, ak (metropolitan statistical area)",4.0,  rpps: services: utilities,86.755,105.845,103.743,105.743,111.88,122.123,109.549,115.663,119.468,120.104,126.846,125.809,123.551,109.742,96.603,-21.81123584592598,anchorage,ak,anchorage
11260,"anchorage, ak (metropolitan statistical area)",5.0,  rpps: services: other,103.194,106.051,101.117,102.521,101.578,99.373,100.447,99.828,102.437,102.137,104.955,104.969,105.538,103.52,100.689,-4.594553620496886,anchorage,ak,anchorage
11460,"ann arbor, mi (metropolitan statistical area)",1.0,rpps: all items,103.617,101.281,101.112,100.37,100.911,100.181,102.545,100.189,98.313,98.476,99.227,100.619,98.487,99.41,97.656,-0.8437661823387745,ann arbor,mi,ann arbor
11460,"ann arbor, mi (metropolitan statistical area)",2.0,  rpps: goods,99.883,102.075,100.471,101.091,99.538,100.072,99.527,98.299,99.111,99.546,97.041,95.815,93.651,94.268,91.857,-1.9156228977800525,ann arbor,mi,ann arbor
11460,"ann arbor, mi (metropolitan statistical area)",3.0,  rpps: services: housing,126.265,105.734,113.589,109.903,119.469,109.018,126.363,120.775,110.87,117.905,118.593,124.833,113.282,121.861,113.923,0.5658445295810502,ann arbor,mi,ann arbor
11460,"ann arbor, mi (metropolitan statistical area)",4.0,  rpps: services: utilities,99.543,108.261,106.931,108.964,111.007,112.536,105.79,106.17,107.147,109.283,103.421,99.476,103.407,105.904,97.689,-5.529606312918858,ann arbor,mi,ann arbor
11460,"ann arbor, mi (metropolitan statistical area)",5.0,  rpps: services: other,100.212,99.215,97.975,97.371,96.723,97.537,98.734,96.496,94.74,93.287,96.371,98.501,97.754,97.812,98.0,0.25165210630766527,ann arbor,mi,ann arbor
11500,"anniston-oxford, al (metropolitan statistical area)",1.0,rpps: all items,88.183,83.439,88.756,90.883,90.739,90.376,89.684,91.107,90.796,88.603,85.153,87.624,85.78,83.677,83.859,-2.239449755187697,anniston-oxford,al,anniston
11500,"anniston-oxford, al (metropolitan statistical area)",2.0,  rpps: goods,96.729,94.838,96.452,96.374,96.68,97.155,97.7,96.396,97.111,97.036,92.5,94.647,94.366,93.939,94.618,0.2670453341245738,anniston-oxford,al,anniston
11500,"anniston-oxford, al (metropolitan statistical area)",3.0,  rpps: services: housing,54.838,41.139,56.635,59.447,59.102,61.541,53.783,61.601,56.979,50.343,51.945,55.164,52.033,49.923,44.749,-13.998808448484612,anniston-oxford,al,anniston
11500,"anniston-oxford, al (metropolitan statistical area)",4.0,  rpps: services: utilities,95.335,95.735,96.699,96.185,96.343,95.663,95.719,94.271,94.816,93.845,90.38,89.868,88.048,89.34,89.962,2.1738142831183005,anniston-oxford,al,anniston
11500,"anniston-oxford, al (metropolitan statistical area)",5.0,  rpps: services: other,98.479,98.044,99.838,101.428,101.775,100.582,100.359,100.978,102.174,100.795,95.902,96.87,96.507,96.06,96.923,0.43105681453158506,anniston-oxford,al,anniston
11540,"appleton, wi (metropolitan statistical area)",1.0,rpps: all items,97.18,94.687,95.241,94.253,94.644,95.33,94.454,93.448,92.975,92.079,93.497,93.678,92.279,93.34,91.768,-0.5537554589884977,appleton,wi,appleton
11540,"appleton, wi (metropolitan statistical area)",2.0,  rpps: goods,98.966,97.859,96.71,95.976,97.15,97.072,98.811,98.451,97.656,95.501,97.686,96.294,94.085,94.601,91.74,-2.492427060636657,appleton,wi,appleton
