county_code,county,msa_code,msa,csa_code,csa_title,msa_name,states,types,first_town,state_abbr,msa_short
21031,"butler, kentucky",C1454,"Bowling Green, KY MSA",CS150,"Bowling Green-Glasgow-Franklin, KY CSA",Bowling Green,KY,MSA,Bowling Green,KY,"Bowling Green, KY"
21037,"campbell, kentucky",C1714,"Cincinnati, OH-KY-IN MSA",CS178,"Cincinnati-Wilmington, OH-KY-IN CSA",Cincinnati,OH-KY-IN,MSA,Cincinnati,OH,"Cincinnati, OH"
21039,"carlisle, kentucky",C3714,"Paducah, KY-IL MSA",CS424,"Paducah-Mayfield, KY-IL CSA",Paducah,KY-IL,MSA,Paducah,KY,"Paducah, KY"
21043,"carter, kentucky",C2658,"Huntington-Ashland, WV-KY-OH MSA",CS170,"Charleston-Huntington-Ashland, WV-OH-KY CSA",Huntington-Ashland,WV-KY-OH,MSA,Huntington,WV,"Huntington, WV"
21047,"christian, kentucky",C1730,"Clarksville, TN-KY MSA",,,Clarksville,TN-KY,MSA,Clarksville,TN,"Clarksville, TN"
21049,"clark, kentucky",C3046,"Lexington-Fayette, KY MSA",CS336,"Lexington-Fayette--Richmond--Frankfort, KY CSA",Lexington-Fayette,KY,MSA,Lexington,KY,"Lexington, KY"
21059,"daviess, kentucky",C3698,"Owensboro, KY MSA",,,Owensboro,KY,MSA,Owensboro,KY,"Owensboro, KY"
21061,"edmonson, kentucky",C1454,"Bowling Green, KY MSA",CS150,"Bowling Green-Glasgow-Franklin, KY CSA",Bowling Green,KY,MSA,Bowling Green,KY,"Bowling Green, KY"
21067,"fayette, kentucky",C3046,"Lexington-Fayette, KY MSA",CS336,"Lexington-Fayette--Richmond--Frankfort, KY CSA",Lexington-Fayette,KY,MSA,Lexington,KY,"Lexington, KY"
21077,"gallatin, kentucky",C1714,"Cincinnati, OH-KY-IN MSA",CS178,"Cincinnati-Wilmington, OH-KY-IN CSA",Cincinnati,OH-KY-IN,MSA,Cincinnati,OH,"Cincinnati, OH"
21081,"grant, kentucky",C1714,"Cincinnati, OH-KY-IN MSA",CS178,"Cincinnati-Wilmington, OH-KY-IN CSA",Cincinnati,OH-KY-IN,MSA,Cincinnati,OH,"Cincinnati, OH"
21089,"greenup, kentucky",C2658,"Huntington-Ashland, WV-KY-OH MSA",CS170,"Charleston-Huntington-Ashland, WV-OH-KY CSA",Huntington-Ashland,WV-KY-OH,MSA,Huntington,WV,"Huntington, WV"
21093,"hardin, kentucky",C2106,"Elizabethtown, KY MSA",CS350,"Louisville-Jefferson County--Elizabethtown, KY-IN CSA",Elizabethtown,KY,MSA,Elizabethtown,KY,"Elizabethtown, KY"
21103,"henry, kentucky",C3114,"Louisville-Jefferson County, KY-IN MSA",CS350,"Louisville-Jefferson County--Elizabethtown, KY-IN CSA",Louisville-Jefferson County,KY-IN,MSA,Louisville,KY,"Louisville, KY"
21111,"jefferson, kentucky",C3114,"Louisville-Jefferson County, KY-IN MSA",CS350,"Louisville-Jefferson County--Elizabethtown, KY-IN CSA",Louisville-Jefferson County,KY-IN,MSA,Louisville,KY,"Louisville, KY"
21113,"jessamine, kentucky",C3046,"Lexington-Fayette, KY MSA",CS336,"Lexington-Fayette--Richmond--Frankfort, KY CSA",Lexington-Fayette,KY,MSA,Lexington,KY,"Lexington, KY"
21117,"kenton, kentucky",C1714,"Cincinnati, OH-KY-IN MSA",CS178,"Cincinnati-Wilmington, OH-KY-IN CSA",Cincinnati,OH-KY-IN,MSA,Cincinnati,OH,"Cincinnati, OH"
21123,"larue, kentucky",C2106,"Elizabethtown, KY MSA",CS350,"Louisville-Jefferson County--Elizabethtown, KY-IN CSA",Elizabethtown,KY,MSA,Elizabethtown,KY,"Elizabethtown, KY"
21127,"lawrence, kentucky",C2658,"Huntington-Ashland, WV-KY-OH MSA",CS170,"Charleston-Huntington-Ashland, WV-OH-KY CSA",Huntington-Ashland,WV-KY-OH,MSA,Huntington,WV,"Huntington, WV"
21139,"livingston, kentucky",C3714,"Paducah, KY-IL MSA",CS424,"Paducah-Mayfield, KY-IL CSA",Paducah,KY-IL,MSA,Paducah,KY,"Paducah, KY"
21145,"mccracken, kentucky",C3714,"Paducah, KY-IL MSA",CS424,"Paducah-Mayfield, KY-IL CSA",Paducah,KY-IL,MSA,Paducah,KY,"Paducah, KY"
21149,"mclean, kentucky",C3698,"Owensboro, KY MSA",,,Owensboro,KY,MSA,Owensboro,KY,"Owensboro, KY"
21163,"meade, kentucky",C3114,"Louisville-Jefferson County, KY-IN MSA",CS350,"Louisville-Jefferson County--Elizabethtown, KY-IN CSA",Louisville-Jefferson County,KY-IN,MSA,Louisville,KY,"Louisville, KY"
21179,"nelson, kentucky",C3114,"Louisville-Jefferson County, KY-IN MSA",CS350,"Louisville-Jefferson County--Elizabethtown, KY-IN CSA",Louisville-Jefferson County,KY-IN,MSA,Louisville,KY,"Louisville, KY"
21185,"oldham, kentucky",C3114,"Louisville-Jefferson County, KY-IN MSA",CS350,"Louisville-Jefferson County--Elizabethtown, KY-IN CSA",Louisville-Jefferson County,KY-IN,MSA,Louisville,KY,"Louisville, KY"
21191,"pendleton, kentucky",C1714,"Cincinnati, OH-KY-IN MSA",CS178,"Cincinnati-Wilmington, OH-KY-IN CSA",Cincinnati,OH-KY-IN,MSA,Cincinnati,OH,"Cincinnati, OH"
21209,"scott, kentucky",C3046,"Lexington-Fayette, KY MSA",CS336,"Lexington-Fayette--Richmond--Frankfort, KY CSA",Lexington-Fayette,KY,MSA,Lexington,KY,"Lexington, KY"
21211,"shelby, kentucky",C3114,"Louisville-Jefferson County, KY-IN MSA",CS350,"Louisville-Jefferson County--Elizabethtown, KY-IN CSA",Louisville-Jefferson County,KY-IN,MSA,Louisville,KY,"Louisville, KY"
21215,"spencer, kentucky",C3114,"Louisville-Jefferson County, KY-IN MSA",CS350,"Louisville-Jefferson County--Elizabethtown, KY-IN CSA",Louisville-Jefferson County,KY-IN,MSA,Louisville,KY,"Louisville, KY"
21221,"trigg, kentucky",C1730,"Clarksville, TN-KY MSA",,,Clarksville,TN-KY,MSA,Clarksville,TN,"Clarksville, TN"
21227,"warren, kentucky",C1454,"Bowling Green, KY MSA",CS150,"Bowling Green-Glasgow-Franklin, KY CSA",Bowling Green,KY,MSA,Bowling Green,KY,"Bowling Green, KY"
21239,"woodford, kentucky",C3046,"Lexington-Fayette, KY MSA",CS336,"Lexington-Fayette--Richmond--Frankfort, KY CSA",Lexington-Fayette,KY,MSA,Lexington,KY,"Lexington, KY"
22001,"acadia parish, louisiana",C2918,"Lafayette, LA MSA",CS318,"Lafayette-New Iberia-Opelousas, LA CSA",Lafayette,LA,MSA,Lafayette,LA,"Lafayette, LA"
22005,"ascension parish, louisiana",C1294,"Baton Rouge, LA MSA",CS132,"Baton Rouge-Hammond, LA CSA",Baton Rouge,LA,MSA,Baton Rouge,LA,"Baton Rouge, LA"
22007,"assumption parish, louisiana",C1294,"Baton Rouge, LA MSA",CS132,"Baton Rouge-Hammond, LA CSA",Baton Rouge,LA,MSA,Baton Rouge,LA,"Baton Rouge, LA"
22015,"bossier parish, louisiana",C4334,"Shreveport-Bossier City, LA MSA",CS508,"Shreveport-Bossier City-Minden, LA CSA",Shreveport-Bossier City,LA,MSA,Shreveport,LA,"Shreveport, LA"
22017,"caddo parish, louisiana",C4334,"Shreveport-Bossier City, LA MSA",CS508,"Shreveport-Bossier City-Minden, LA CSA",Shreveport-Bossier City,LA,MSA,Shreveport,LA,"Shreveport, LA"
22019,"calcasieu parish, louisiana",C2934,"Lake Charles, LA MSA",CS324,"Lake Charles-DeRidder, LA CSA",Lake Charles,LA,MSA,Lake Charles,LA,"Lake Charles, LA"
