regionname,vote_swing,msa_short
"wausau, wi",0.48533328271846976,"wausau, wi"
"wenatchee, wa",0.6985410178346751,"wenatchee, wa"
"wichita falls, tx",1.7989971599960963,"wichita falls, tx"
"wichita, ks",0.9553407078200848,"wichita, ks"
"wildwood, fl",0.44280343767790775,"wildwood, fl"
"williamsport, pa",0.14162660162704288,"williamsport, pa"
"wilmington, nc",1.2253786453081394,"wilmington, nc"
"winston, nc",0.507522688735329,"winston, nc"
"worcester, ma",4.200401851628599,"worcester, ma"
"yakima, wa",3.069489450607299,"yakima, wa"
"york, pa",0.3891633990019905,"york, pa"
"youngstown, oh",3.414893124045293,"youngstown, oh"
"yuba city, ca",5.148286040351269,"yuba city, ca"
"yuma, az",7.345069900772172,"yuma, az"
