fips,msa,category,cumulative biden rpp percent change,year,rpp
15180,brownsville-harlingen,housing,9.600371184765287,2008,49.89
15180,brownsville-harlingen,utilities,0.7221530729668102,2008,100.915
15180,brownsville-harlingen,other services,-2.223362924492223,2008,98.365
15260,brunswick,all items,2.871135873472319,2008,88.161
15260,brunswick,goods,0.026247821430827212,2008,94.011
15260,brunswick,housing,-1.5239487907330185,2008,68.06
15260,brunswick,utilities,1.4519702925096616,2008,79.525
15260,brunswick,other services,4.5145421865310045,2008,95.034
15380,buffalo-cheektowaga,all items,-0.45065583678835835,2008,97.276
15380,buffalo-cheektowaga,goods,-2.126385449230643,2008,101.337
15380,buffalo-cheektowaga,housing,10.744104188665963,2008,73.419
15380,buffalo-cheektowaga,utilities,-2.7470161191091553,2008,134.333
15380,buffalo-cheektowaga,other services,-2.8322834091890994,2008,101.171
15500,burlington,all items,2.875901505946872,2008,92.47
15500,burlington,goods,0.3844703318806468,2008,97.359
15500,burlington,housing,0.5873485408726273,2008,70.257
15500,burlington,utilities,-3.9353051156713894,2008,88.859
15500,burlington,other services,4.332572314265966,2008,98.687
15540,burlington-south burlington,all items,1.4346956273220923,2008,103.27
15540,burlington-south burlington,goods,1.9246556599470956,2008,100.668
15540,burlington-south burlington,housing,-1.7937362096607816,2008,115.583
15540,burlington-south burlington,utilities,-16.112323958734645,2008,129.177
15540,burlington-south burlington,other services,2.9430457100953222,2008,100.702
15680,california-lexington park,all items,1.7130511877222814,2008,97.964
15680,california-lexington park,goods,0.5550203158379772,2008,93.435
15680,california-lexington park,housing,-3.074069166556251,2008,115.596
15680,california-lexington park,utilities,-2.3025088119427632,2008,106.642
15680,california-lexington park,other services,4.568905074351971,2008,95.199
15940,canton-massillon,all items,-0.2036545299068495,2008,93.421
15940,canton-massillon,goods,-1.7951369271605042,2008,98.594
15940,canton-massillon,housing,-0.8451281350839109,2008,66.892
15940,canton-massillon,utilities,-1.3675626433690875,2008,100.171
15940,canton-massillon,other services,0.041010078226716054,2008,99.604
